"name","latitude","longitude","grantee","grantNumber","delegateNo","centerType","programType","programDelegateName","programMainPhoneNumber","programAddress","programCity","programState","programZipCode","phone","address","city","state","zip","id"
"MCS - Black Fox","35.8140729","-86.36566370000003","MID-CUMBERLAND COMMUNITY ACTION
412 Vine Street
Murfreesboro, TN 37130-
(615)893-6614 - 1026
","04CH4771","000","Head Start","Head Start","MID-CUMBERLAND COMMUNITY ACTION","","412 Vine Street ","Murfreesboro","TN","37130","(615) 542-9565","1753 S Rutherford Blvd","Murfreesboro","TN","37130-5957","49497"
"Getwell Elementary","35.0451318","-89.93382659999997","Shelby County Board of Education
160 S. Hollywood St.
Memphis, TN 38112-4801
(901)416-0036
","04CH4727","000","Head Start","Head Start","Shelby County Board of Education","","160 S. Hollywood St. ","Memphis","TN","38112-4801","(901) 416-0267","3795 Getwell Road","Memphis","TN","38118","46468"
"Cummings Elementary","35.1179624","-90.02734750000002","Shelby County Board of Education
160 S. Hollywood St.
Memphis, TN 38112-4801
(901)416-0036
","04CH4727","000","Head Start","Head Start","Shelby County Board of Education","","160 S. Hollywood St. ","Memphis","TN","38112-4801","(901) 416-7810","1037 Cummings St","Memphis","TN","38106-2209","46455"
"West LaFollette Head Start Center","36.38061","-84.11869200000001","Clinch-Powell Educational Cooperative
106 Ingle Dr
Tazewell, TN 37879-3640
(423)626-9270
","04CH010267","000","Head Start","Head Start","Clinch-Powell Educational Cooperative","","106 Ingle Dr ","Tazewell","TN","37879-3640","(423) 562-7335","210 E Beech St","La Follette","TN","37766-3672","80721"
"Douglass Head Start","35.175698","-89.95179300000001","Shelby County Board of Education
160 S. Hollywood St.
Memphis, TN 38112-4801
(901)416-0036
","04CH4727","000","Head Start","Head Start","Shelby County Board of Education","","160 S. Hollywood St. ","Memphis","TN","38112-4801","(901) 452-7736","1600 Ash St","Memphis","TN","38108-1927","46441"
"SHADY GROVE","36.0298622","-83.42650119999996","Douglas-Cherokee Economic Authority, Inc.
534 E 1st North St
Morristown, TN 37814-4716
(423)587-4501 - 129
","04CH9999","000","Head Start","Head Start","Douglas-Cherokee Economic Authority, Inc.","","534 E 1st North St ","Morristown","TN","37814-4716","(865) 397-1417","942 Industrial Park Rd","Dandridge","TN","37725-4700","56944"
"A. B. Hill Elementary","35.1098611","-90.0509005","Shelby County Board of Education
160 S. Hollywood St.
Memphis, TN 38112-4801
(901)416-0036
","04CH4727","000","Head Start","Head Start","Shelby County Board of Education","","160 S. Hollywood St. ","Memphis","TN","38112-4801","(901) 416-7844","345 E Olive Ave","Memphis","TN","38106-4207","86022"
"JUDSON HILL","36.220262","-83.29549600000001","Douglas-Cherokee Economic Authority, Inc.
534 E 1st North St
Morristown, TN 37814-4716
(423)587-4501 - 129
","04CH9999","000","Head Start","Head Start","Douglas-Cherokee Economic Authority, Inc.","","534 E 1st North St ","Morristown","TN","37814-4716","(423) 586-3676","776 N Cumberland St","Morristown","TN","37814-4118","56950"
"Girls Inc. Head Start","36.5506847","-82.5474542","UPPER EAST TENNESSEE HUMAN DEVELOPMENT AGENCY
301 Louis St
Kingsport, TN 37660-5181
(423)230-3732
","04CH4688","000","Head Start","Head Start","UPPER EAST TENNESSEE HUMAN DEVELOPMENT AGENCY","","301 Louis St ","Kingsport","TN","37660-5181","(423) 247-2321","1100 Girls Place","Kingsport","TN","37660","39073"
"Brookside Head Start","35.62072","-85.79611","Livingston Byrdstown Jamestown & Cookeville Dev Corp
1150 Chocolate Drive
Cookeville, TN 38501-2006
(931)528-3361
","04CH4696","000","Head Start","Head Start","Livingston Byrdstown Jamestown & Cookeville Dev Corp","","1150 Chocolate Drive ","Cookeville","TN","38501-2006","(931) 668-7043","87 John Locke Rd","Mc Minnville","TN","37110-5058","41635"
"Corryton","36.1681872","-83.80173439999999","Douglas-Cherokee Economic Authority, Inc.
534 E 1st North St
Morristown, TN 37814-4716
(423)587-4501 - 129
","04CH9999","000","Head Start","Head Start","Douglas-Cherokee Economic Authority, Inc.","","534 E 1st North St ","Morristown","TN","37814-4716","(865) 992-9101","8793 Corryton Rd","Corryton","TN","37721-5007","56968"
"Caldwell Lane","36.5041316","-87.34737109999998","Clarksville / Montgomery County CAA
150 Lafayette Rd
Clarksville, TN 37042-4205
(931)896-1806
","04CH010248","000","Head Start","Head Start","Clarksville / Montgomery County CAA","","150 Lafayette Rd ","Clarksville","TN","37042-4205","(931) 648-5785","226 Caldwell Ln","Clarksville","TN","37040-4204","80329"
"WCS - Rutland","36.168024","-86.47948199999996","MID-CUMBERLAND COMMUNITY ACTION
412 Vine Street
Murfreesboro, TN 37130-
(615)893-6614 - 1026
","04CH4771","000","Head Start","Head Start","MID-CUMBERLAND COMMUNITY ACTION","","412 Vine Street ","Murfreesboro","TN","37130","(615) 542-9556","1995 S Rutland Rd","Mount Juliet","TN","37122-6102","49494"
"ATHENS HEAD START","35.4490636","-84.597035","Family Resource Agency, Inc.
3680 Michigan Avenue Rd NE
Cleveland, TN 37323-5721
(423)303-3536
","04CH010316","000","Head Start","Head Start","Family Resource Agency, Inc.","","3680 Michigan Avenue Rd NE ","Cleveland","TN","37323-5721","(423) 745-8274","625 Green St","Athens","TN","37303-2657","81989"
"Norwood Head Start/ Early Head Start","36.0221806","-84.31241260000002","Anderson County Schools' Preschool
708 N Main St
Clinton, TN 37716-3143
(865)463-2833
","04CH9994","000","Head Start","Head Start","Anderson County Schools' Preschool","","708 N Main St ","Clinton","TN","37716-3143","(865) 435-6025","809 E Tri County Blvd","Oliver Springs","TN","37840-1844","56868"
"Gallatin I Head Start","36.3912811","-86.44994020000001","MID-CUMBERLAND COMMUNITY ACTION
412 Vine Street
Murfreesboro, TN 37130-
(615)893-6614 - 1026
","04CH4771","000","Head Start","Head Start","MID-CUMBERLAND COMMUNITY ACTION","","412 Vine Street ","Murfreesboro","TN","37130","(615) 451-0323","242 W Eastland St","Gallatin","TN","37066-2704","48595"
"Sullivan","36.4803164","-82.5941396","UPPER EAST TENNESSEE HUMAN DEVELOPMENT AGENCY
301 Louis St
Kingsport, TN 37660-5181
(423)230-3732
","04CH4688","000","Head Start","Head Start","UPPER EAST TENNESSEE HUMAN DEVELOPMENT AGENCY","","301 Louis St ","Kingsport","TN","37660-5181","(423) 349-6096","209 Rosemont St","Kingsport","TN","37660-7816","39046"
"Dunlap Head Start","35.358675","-85.40388000000002","SEQUATCHIE VALLEY PLANNING & DEVELOPMENT DISTRICT
501 Westfield Pl
Jasper, TN 37347-5144
(423)939-1005
","04CH4786","000","Head Start","Head Start","SEQUATCHIE VALLEY PLANNING & DEVELOPMENT DISTRICT","","501 Westfield Pl ","Jasper","TN","37347-5144","(423) 949-5015","173 Jones Dr
P O Box 1226","Dunlap","TN","37327-3532","51919"
"YATES HEAD START / PRE-K","35.206962","-84.85728399999999","Family Resource Agency, Inc.
3680 Michigan Avenue Rd NE
Cleveland, TN 37323-5721
(423)303-3536
","04CH010316","000","Head Start","Head Start","Family Resource Agency, Inc.","","3680 Michigan Avenue Rd NE ","Cleveland","TN","37323-5721","(423) 614-7074","750 Mouse Creek Rd NW","Cleveland","TN","37312-3905","81994"
"Children First Child Development Center","36.3230152","-82.33506439999996","UPPER EAST TENNESSEE HUMAN DEVELOPMENT AGENCY
301 Louis St
Kingsport, TN 37660-5181
(423)230-3732
","04CH4688","000","Head Start","Head Start","UPPER EAST TENNESSEE HUMAN DEVELOPMENT AGENCY","","301 Louis St ","Kingsport","TN","37660-5181","(423) 926-7716","837 Pardee St","Johnson City","TN","37601-5900","39060"
"Amana Head Start","35.1494261","-86.57907949999998","South Central Human Resource Agency
1437 Winchester Hwy
Fayetteville, TN 37334-2757
(931)433-7182 - 182
","04CH4650","000","Head Start","Head Start","South Central Human Resource Agency","","1437 Winchester Hwy ","Fayetteville","TN","37334-2757","(931) 438-0397","506 Amana Ave","Fayetteville","TN","37334-3363","32651"
"Winchester Elementary","35.050992","-89.99737199999998","Shelby County Board of Education
160 S. Hollywood St.
Memphis, TN 38112-4801
(901)416-0036
","04CH4727","000","Head Start","Head Start","Shelby County Board of Education","","160 S. Hollywood St. ","Memphis","TN","38112-4801","(901) 416-3152","3587 Boeingshire Dr","Memphis","TN","38116-5012","46460"
"Hunter","36.3717839","-82.1583086","Carter County Head Start
305 Academy Street
Elizabethton, TN 37643-2208
(423)547-4009
","04CH4688","002","Head Start","Head Start","Carter County Head Start","","305 Academy Street ","Elizabethton","TN","37643-2208","(423) 547-4059","145 Hope St","Elizabethton","TN","37643-6431","40770"
"Larose Elementary","35.1238952","-90.04706070000003","Shelby County Board of Education
160 S. Hollywood St.
Memphis, TN 38112-4801
(901)416-0036
","04CH4727","000","Head Start","Head Start","Shelby County Board of Education","","160 S. Hollywood St. ","Memphis","TN","38112-4801","(901) 416-7848","864 S Wellington St","Memphis","TN","38126-5304","58862"
"Brownsville","35.595866","-89.27280389999999","SOUTHWEST HUMAN RESOURCE AGENCY
1527 White Ave
Henderson, TN 38340-7625
(731)989-5111
","04CH4711","000","Head Start","Head Start","SOUTHWEST HUMAN RESOURCE AGENCY","","1527 White Ave ","Henderson","TN","38340-7625","(731) 772-4104","127 N Grand Ave
Ste 1","Brownsville","TN","38012-2487","43934"
"Central Point","36.2550032","-83.48719949999997","Douglas-Cherokee Economic Authority, Inc.
534 E 1st North St
Morristown, TN 37814-4716
(423)587-4501 - 129
","04CH9999","000","Head Start","Head Start","Douglas-Cherokee Economic Authority, Inc.","","534 E 1st North St ","Morristown","TN","37814-4716","(865) 828-8585","151 Sam Roberts Ln","Rutledge","TN","37861-4553","56962"
"BURNS HEAD START","36.0524938","-87.31085999999999","Highland Rim Economic Corporation
3215 Highway 149
Erin, TN 37061-5407
(931)289-4135
","04CH4663","000","Head Start","Head Start","Highland Rim Economic Corporation","","3215 Highway 149 ","Erin","TN","37061-5407","(615) 441-3599","905 Hershell St
PO Box 451","Burns","TN","37029-6250","32862"
"Sheffield Elementary","35.0581848","-89.9207346","Shelby County Board of Education
160 S. Hollywood St.
Memphis, TN 38112-4801
(901)416-0036
","04CH4727","000","Head Start","Head Start","Shelby County Board of Education","","160 S. Hollywood St. ","Memphis","TN","38112-4801","(901) 416-2360","4290 Chuck Ave","Memphis","TN","38118-4005","86029"
"Tom Joy Head Start Center","36.203666","-86.75969099999998","Metropolitan Action Commission
800 2nd Ave N
Nashville, TN 37201-1083
(615)862-8860 - 70146
","04CH010156","000","Head Start","Head Start","Metropolitan Action Commission","","800 2nd Ave N ","Nashville","TN","37201-1083","(615) 880-1690","1901 Lischey Ave","Nashville","TN","37207-5113","56854"
"Alton Elementary","35.0914653","-90.04279380000003","Shelby County Board of Education
160 S. Hollywood St.
Memphis, TN 38112-4801
(901)416-0036
","04CH4727","000","Head Start","Head Start","Shelby County Board of Education","","160 S. Hollywood St. ","Memphis","TN","38112-4801","(901) 416-7430","2020 Alton Ave","Memphis","TN","38106-7224","46446"
"Childcare Network 152","34.990757","-85.25176899999997","Chattanooga YFD Head Start/EHS Program
2302 Ocoee St
Chattanooga, TN 37406-3564
(423)643-6537
","04CH010085","000","Head Start","Head Start","Chattanooga YFD Head Start/EHS Program","","2302 Ocoee St ","Chattanooga","TN","37406-3564","","4108 Bennett Rd","Chattanooga","TN","37412-2202","56823"
"Delano Head Start","35.2014352","-90.0067646","Shelby County Board of Education
160 S. Hollywood St.
Memphis, TN 38112-4801
(901)416-0036
","04CH4727","000","Head Start","Head Start","Shelby County Board of Education","","160 S. Hollywood St. ","Memphis","TN","38112-4801","(901) 922-0836","1727 Oberle Rd","Memphis","TN","38127-8116","46440"
"Livingston Head Start","36.3926782","-85.33257400000002","Livingston Byrdstown Jamestown & Cookeville Dev Corp
1150 Chocolate Drive
Cookeville, TN 38501-2006
(931)528-3361
","04CH4696","000","Head Start","Head Start","Livingston Byrdstown Jamestown & Cookeville Dev Corp","","1150 Chocolate Drive ","Cookeville","TN","38501-2006","(931) 823-1757","480 Cross Ave","Livingston","TN","38570-1038","41639"
"VALLEY VIEW HEAD START / PRE-K","35.0444712","-84.80607889999999","Family Resource Agency, Inc.
3680 Michigan Avenue Rd NE
Cleveland, TN 37323-5721
(423)303-3536
","04CH010316","000","Head Start","Head Start","Family Resource Agency, Inc.","","3680 Michigan Avenue Rd NE ","Cleveland","TN","37323-5721","(423) 339-5444","5607 Spring Place Rd SE","Cleveland","TN","37323-8959","81993"
"PROSPECT HEAD START / PRE-K","35.1779448","-84.91790609999998","Family Resource Agency, Inc.
3680 Michigan Avenue Rd NE
Cleveland, TN 37323-5721
(423)303-3536
","04CH010316","000","Head Start","Head Start","Family Resource Agency, Inc.","","3680 Michigan Avenue Rd NE ","Cleveland","TN","37323-5721","(423) 614-7385","2450 Prospect School Rd NW","Cleveland","TN","37312-2446","81988"
"Westside Elementary","35.2169083","-90.0374575","Shelby County Board of Education
160 S. Hollywood St.
Memphis, TN 38112-4801
(901)416-0036
","04CH4727","000","Head Start","Head Start","Shelby County Board of Education","","160 S. Hollywood St. ","Memphis","TN","38112-4801","(901) 416-3725","3347 Dawn Dr","Memphis","TN","38127-5910","82801"
"Oakhaven Elementary","35.04497","-89.95814159999998","Shelby County Board of Education
160 S. Hollywood St.
Memphis, TN 38112-4801
(901)416-0036
","04CH4727","000","Head Start","Head Start","Shelby County Board of Education","","160 S. Hollywood St. ","Memphis","TN","38112-4801","(901) 416-2320","3795 Bishops Bridge Rd","Memphis","TN","38118-5714","46497"
"Kingston Elementary","35.8576943","-84.48298499999999","Mid-East Community Action Agency
315 E Race St
Kingston, TN 37763-2828
(865)376-2308 - 231
","04CH0450","000","Head Start","Head Start","Mid-East Community Action Agency","","315 E Race St ","Kingston","TN","37763-2828","(865) 376-5252","2000 Kingston Hwy","Kingston","TN","37763-4663","38396"
"Bodenham Head Start","35.220396","-87.126486","South Central Human Resource Agency
1437 Winchester Hwy
Fayetteville, TN 37334-2757
(931)433-7182 - 182
","04CH4650","000","Head Start","Head Start","South Central Human Resource Agency","","1437 Winchester Hwy ","Fayetteville","TN","37334-2757","(931) 363-0448","21142 Highway 64 W","Pulaski","TN","38478-8427","32644"
"ETSU FD/FY","36.2974723857027","-82.3831812246063","UPPER EAST TENNESSEE HUMAN DEVELOPMENT AGENCY
301 Louis St
Kingsport, TN 37660-5181
(423)230-3732
","04CH4688","000","Head Start","Head Start","UPPER EAST TENNESSEE HUMAN DEVELOPMENT AGENCY","","301 Louis St ","Kingsport","TN","37660-5181","(423) 439-4888","2101 Signal Dr","Johnson City","TN","37604-7034","86711"
"Tusculum View","36.181796","-82.789131","UPPER EAST TENNESSEE HUMAN DEVELOPMENT AGENCY
301 Louis St
Kingsport, TN 37660-5181
(423)230-3732
","04CH4688","000","Head Start","Head Start","UPPER EAST TENNESSEE HUMAN DEVELOPMENT AGENCY","","301 Louis St ","Kingsport","TN","37660-5181","(423) 787-0007","1725 Lafayette St","Greeneville","TN","37745-4215","39070"
"Ramer","35.070878","-88.61802269999998","SOUTHWEST HUMAN RESOURCE AGENCY
1527 White Ave
Henderson, TN 38340-7625
(731)989-5111
","04CH4711","000","Head Start","Head Start","SOUTHWEST HUMAN RESOURCE AGENCY","","1527 White Ave ","Henderson","TN","38340-7625","(731) 646-0169","4186 Highway 57 W","Ramer","TN","38367-7170","43936"
"ACCTC Head Start","36.1587834","-84.09595990000003","Anderson County Schools' Preschool
708 N Main St
Clinton, TN 37716-3143
(865)463-2833
","04CH9994","000","Head Start","Head Start","Anderson County Schools' Preschool","","708 N Main St ","Clinton","TN","37716-3143","(865) 463-2332","140 Maverick Cir","Clinton","TN","37716-6701","56867"
"Wells Station Elementary","35.175219","-89.91559699999999","Shelby County Board of Education
160 S. Hollywood St.
Memphis, TN 38112-4801
(901)416-0036
","04CH4727","000","Head Start","Head Start","Shelby County Board of Education","","160 S. Hollywood St. ","Memphis","TN","38112-4801","(901) 416-2172","1610 Wells Station Rd","Memphis","TN","38108-3619","46472"
"Hanley Head Start","35.113784","-89.9745949","Shelby County Board of Education
160 S. Hollywood St.
Memphis, TN 38112-4801
(901)416-0036
","04CH4727","000","Head Start","Head Start","Shelby County Board of Education","","160 S. Hollywood St. ","Memphis","TN","38112-4801","(901) 922-0861","2635 Spottswood Ave","Memphis","TN","38114-2536","46443"
"Ford Road Elementary","35.05765210000001","-90.08082139999999","Shelby County Board of Education
160 S. Hollywood St.
Memphis, TN 38112-4801
(901)416-0036
","04CH4727","000","Head Start","Head Start","Shelby County Board of Education","","160 S. Hollywood St. ","Memphis","TN","38112-4801","(901) 416-8150","3336 Ford Rd","Memphis","TN","38109-3230","46463"
"Robert R. Church Elementary","35.037185","-90.00521400000002","Shelby County Board of Education
160 S. Hollywood St.
Memphis, TN 38112-4801
(901)416-0036
","04CH4727","000","Head Start","Head Start","Shelby County Board of Education","","160 S. Hollywood St. ","Memphis","TN","38112-4801","(901) 416-0198","4100 Millbranch Rd","Memphis","TN","38116-5753","46506"
"LEARNING CENTER","36.2052819","-83.28454199999999","Douglas-Cherokee Economic Authority, Inc.
534 E 1st North St
Morristown, TN 37814-4716
(423)587-4501 - 129
","04CH9999","000","Head Start","Head Start","Douglas-Cherokee Economic Authority, Inc.","","534 E 1st North St ","Morristown","TN","37814-4716","(423) 581-2350","306 Brown Ave","Morristown","TN","37813-5203","56949"
"UCHRA Van Buren County Head Start","35.7216914","-85.37321050000003","Upper Cumberland Human Resource Agency
580 S Jefferson Ave Ste B
Cookeville, TN 38501-4673
(423)881-5182
","04CH10011","000","Head Start","Head Start","Upper Cumberland Human Resource Agency","","580 S Jefferson Ave Ste B ","Cookeville","TN","38501-4673","(423) 881-5182","24038 State Route 30","Spencer","TN","38585-3827","55568"
"Anderson South","35.929039","-83.86551299999996","KNOXVILLE KNOX COUNTY COMMUNITY ACTION COMMISSION
2400 Piedmont St
Knoxville, TN 37921-7048
(865)522-2193
","04CH4692","000","Head Start","Head Start","KNOXVILLE KNOX COUNTY COMMUNITY ACTION COMMISSION","","2400 Piedmont St ","Knoxville","TN","37921-7048","(865) 573-1846","4808 Prospect Rd","Knoxville","TN","37920-5349","39033"
"Gainesboro Head Start","36.337627","-85.656656","Livingston Byrdstown Jamestown & Cookeville Dev Corp
1150 Chocolate Drive
Cookeville, TN 38501-2006
(931)528-3361
","04CH4696","000","Head Start","Head Start","Livingston Byrdstown Jamestown & Cookeville Dev Corp","","1150 Chocolate Drive ","Cookeville","TN","38501-2006","(931) 268-3312","745 S Grundy Quarles Hwy","Gainesboro","TN","38562-5904","41625"
"Camp Creek","36.0608379","-82.76548689999998","UPPER EAST TENNESSEE HUMAN DEVELOPMENT AGENCY
301 Louis St
Kingsport, TN 37660-5181
(423)230-3732
","04CH4688","000","Head Start","Head Start","UPPER EAST TENNESSEE HUMAN DEVELOPMENT AGENCY","","301 Louis St ","Kingsport","TN","37660-5181","(423) 638-0434","2941 Camp Creek Rd","Greeneville","TN","37743-6370","39072"
"Whitehaven Elementary","35.0181431","-90.0251983","Shelby County Board of Education
160 S. Hollywood St.
Memphis, TN 38112-4801
(901)416-0036
","04CH4727","000","Head Start","Head Start","Shelby County Board of Education","","160 S. Hollywood St. ","Memphis","TN","38112-4801","(901) 416-7431","4780 Elvis Presley Blvd","Memphis","TN","38116-7770","46464"
"Pro Re Bona","35.019491","-85.27173499999998","Chattanooga YFD Head Start/EHS Program
2302 Ocoee St
Chattanooga, TN 37406-3564
(423)643-6537
","04CH010085","000","Head Start","Head Start","Chattanooga YFD Head Start/EHS Program","","2302 Ocoee St ","Chattanooga","TN","37406-3564","(423) 622-2632","1707 Dodds Ave","Chattanooga","TN","37404-5431","56816"
"North Lee Head Start/ Pre K","35.208252","-84.84466900000001","Family Resource Agency, Inc.
3680 Michigan Avenue Rd NE
Cleveland, TN 37323-5721
(423)303-3536
","04CH010316","000","Head Start","Head Start","Family Resource Agency, Inc.","","3680 Michigan Avenue Rd NE ","Cleveland","TN","37323-5721","(423) 478-8809","205 Sequoia Rd NW","Cleveland","TN","37312-4030","82066"
"South Lawrence Head Start","35.02169010000001","-87.5852797","South Central Human Resource Agency
1437 Winchester Hwy
Fayetteville, TN 37334-2757
(931)433-7182 - 182
","04CH4650","000","Head Start","Head Start","South Central Human Resource Agency","","1437 Winchester Hwy ","Fayetteville","TN","37334-2757","(931) 845-4994","114 W 2nd St","Iron City","TN","38463-7215","32643"
"Newbern Head Start","36.115753","-89.278772","Northwest Tennessee Head Start
938 C Walnut Avenue West
McKenzie, TN 38201-1970
(731)352-4743 - 6502
","04CH010416","000","Head Start","Head Start","Northwest Tennessee Head Start","","938 C Walnut Avenue West ","McKenzie","TN","38201-1970","(731) 627-2122","212 Wheatley Drive Ext","Newbern","TN","38059-1454","84599"
"OCOEE HEAD START","35.1105142","-84.68044170000002","Family Resource Agency, Inc.
3680 Michigan Avenue Rd NE
Cleveland, TN 37323-5721
(423)303-3536
","04CH010316","000","Head Start","Head Start","Family Resource Agency, Inc.","","3680 Michigan Avenue Rd NE ","Cleveland","TN","37323-5721","(423) 338-9534","1510 Cookson Creek Rd","Ocoee","TN","37361-3436","81990"
"Cottonwood Head Start","35.0689648","-89.88934030000001","Shelby County Board of Education
160 S. Hollywood St.
Memphis, TN 38112-4801
(901)416-0036
","04CH4727","000","Head Start","Head Start","Shelby County Board of Education","","160 S. Hollywood St. ","Memphis","TN","38112-4801","(901) 922-0896","5221 Cottonwood Rd","Memphis","TN","38118-2647","46437"
"Huntsville Head Start Center","36.4109882","-84.46005450000001","Clinch-Powell Educational Cooperative
106 Ingle Dr
Tazewell, TN 37879-3640
(423)626-9270
","04CH010267","000","Head Start","Head Start","Clinch-Powell Educational Cooperative","","106 Ingle Dr ","Tazewell","TN","37879-3640","(423) 663-4668","3225 Baker Hwy","Huntsville","TN","37756-4014","80946"
"Sparta Head Start","35.9503756","-85.47544390000002","Livingston Byrdstown Jamestown & Cookeville Dev Corp
1150 Chocolate Drive
Cookeville, TN 38501-2006
(931)528-3361
","04CH4696","000","Head Start","Head Start","Livingston Byrdstown Jamestown & Cookeville Dev Corp","","1150 Chocolate Drive ","Cookeville","TN","38501-2006","(931) 836-2615","430 N Spring St","Sparta","TN","38583-1342","41643"
"Roan Creek","36.422129","-81.82954589999997","Johnson County Head Start
211 North Church Street
Mountain City, TN 37683-1325
(423)727-2640
","04CH4688","001","Head Start","Head Start","Johnson County Head Start","","211 North Church Street ","Mountain City","TN","37683-1325","(423) 727-2697","2410 Roan Creek Rd","Mountain City","TN","37683-6065","40765"
"Head Homes Head Start","36.2037823","-86.28217669999998","MID-CUMBERLAND COMMUNITY ACTION
412 Vine Street
Murfreesboro, TN 37130-
(615)893-6614 - 1026
","04CH4771","000","Head Start","Head Start","MID-CUMBERLAND COMMUNITY ACTION","","412 Vine Street ","Murfreesboro","TN","37130","(615) 444-5703","No 1 Wheeler Street","Lebanon","TN","37087","48604"
"Whitwell Head Start","35.165028","-85.53736099999998","SEQUATCHIE VALLEY PLANNING & DEVELOPMENT DISTRICT
501 Westfield Pl
Jasper, TN 37347-5144
(423)939-1005
","04CH4786","000","Head Start","Head Start","SEQUATCHIE VALLEY PLANNING & DEVELOPMENT DISTRICT","","501 Westfield Pl ","Jasper","TN","37347-5144","(423) 658-7544","11057 Highway 28","Whitwell","TN","37397-5375","51916"
"Levi Elementary","35.0427955","-90.06860080000001","Shelby County Board of Education
160 S. Hollywood St.
Memphis, TN 38112-4801
(901)416-0036
","04CH4727","000","Head Start","Head Start","Shelby County Board of Education","","160 S. Hollywood St. ","Memphis","TN","38112-4801","(901) 416-8166","135 W Levi Rd","Memphis","TN","38109-4509","46484"
"Winfield Head Start Center","36.5509147","-84.45279979999998","Clinch-Powell Educational Cooperative
106 Ingle Dr
Tazewell, TN 37879-3640
(423)626-9270
","04CH010267","000","Head Start","Head Start","Clinch-Powell Educational Cooperative","","106 Ingle Dr ","Tazewell","TN","37879-3640","(423) 569-2147","23374 Scott Hwy","Winfield","TN","37892-3815","80762"
"STEWART HEAD START","36.5656754","-87.7357154","Highland Rim Economic Corporation
3215 Highway 149
Erin, TN 37061-5407
(931)289-4135
","04CH4663","000","Head Start","Head Start","Highland Rim Economic Corporation","","3215 Highway 149 ","Erin","TN","37061-5407","(931) 232-7965","500 Williams Rd","Big Rock","TN","37023-3031","32860"
"Dudley Head Start","36.1452361","-86.7657031","Metropolitan Action Commission
800 2nd Ave N
Nashville, TN 37201-1083
(615)862-8860 - 70146
","04CH010156","000","Head Start","Head Start","Metropolitan Action Commission","","800 2nd Ave N ","Nashville","TN","37201-1083","(615) 862-8885","1203 3rd Ave S","Nashville","TN","37210-4103","56853"
"Stanton","35.4624175","-89.40508750000004","SOUTHWEST HUMAN RESOURCE AGENCY
1527 White Ave
Henderson, TN 38340-7625
(731)989-5111
","04CH4711","000","Head Start","Head Start","SOUTHWEST HUMAN RESOURCE AGENCY","","1527 White Ave ","Henderson","TN","38340-7625","(731) 548-2275","5 Lafayette St","Stanton","TN","38069-4437","43930"
"North Head Start","36.181971","-86.79214530000002","Metropolitan Action Commission
800 2nd Ave N
Nashville, TN 37201-1083
(615)862-8860 - 70146
","04CH010156","000","Head Start","Head Start","Metropolitan Action Commission","","800 2nd Ave N ","Nashville","TN","37201-1083","(615) 862-8860","1624 5th Ave N","Nashville","TN","37208-2243","56847"
"TNT Head Start Center","36.4416837","-83.5836251","Clinch-Powell Educational Cooperative
106 Ingle Dr
Tazewell, TN 37879-3640
(423)626-9270
","04CH010267","000","Head Start","Head Start","Clinch-Powell Educational Cooperative","","106 Ingle Dr ","Tazewell","TN","37879-3640","(423) 626-5708","497 Davis Dr","New Tazewell","TN","37825-6542","80947"
"Nolachuckey","36.044024","-82.93379499999998","UPPER EAST TENNESSEE HUMAN DEVELOPMENT AGENCY
301 Louis St
Kingsport, TN 37660-5181
(423)230-3732
","04CH4688","000","Head Start","Head Start","UPPER EAST TENNESSEE HUMAN DEVELOPMENT AGENCY","","301 Louis St ","Kingsport","TN","37660-5181","(423) 798-9455","565 Nolichuckey Rd","Greeneville","TN","37743-1887","39065"
"Gardenview Elementary","35.0372916","-89.99686099999997","Shelby County Board of Education
160 S. Hollywood St.
Memphis, TN 38112-4801
(901)416-0036
","04CH4727","000","Head Start","Head Start","Shelby County Board of Education","","160 S. Hollywood St. ","Memphis","TN","38112-4801","(901) 416-3068","4075 Hartz Dr","Memphis","TN","38116-6018","46466"
"Wayne County Head Start","35.3079865","-87.76207590000001","South Central Human Resource Agency
1437 Winchester Hwy
Fayetteville, TN 37334-2757
(931)433-7182 - 182
","04CH4650","000","Head Start","Head Start","South Central Human Resource Agency","","1437 Winchester Hwy ","Fayetteville","TN","37334-2757","(931) 722-9413","537 Lloyd St","Waynesboro","TN","38485-2704","32648"
"Smyrna Head Start","36.008406","-86.48961359999998","MID-CUMBERLAND COMMUNITY ACTION
412 Vine Street
Murfreesboro, TN 37130-
(615)893-6614 - 1026
","04CH4771","000","Head Start","Head Start","MID-CUMBERLAND COMMUNITY ACTION","","412 Vine Street ","Murfreesboro","TN","37130","(615) 459-6038","98 Wise Dr","Smyrna","TN","37167-2100","48598"
"Cherokee","36.1260704","-83.49137559999997","Douglas-Cherokee Economic Authority, Inc.
534 E 1st North St
Morristown, TN 37814-4716
(423)587-4501 - 129
","04CH9999","000","Head Start","Head Start","Douglas-Cherokee Economic Authority, Inc.","","534 E 1st North St ","Morristown","TN","37814-4716","(865) 475-5974","110 E Old Andrew Johnson Hwy
Ste 1","Jefferson City","TN","37760-1747","56963"
